Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
17/08/2024,Newcastle,Liverpool,0,0,D,4.23,3.68,5.06
17/08/2024,Liverpool,Chelsea,0,1,A,4.14,3.77,2.13
17/08/2024,Fulham,Brighton,0,2,A,3.07,3.9,3.59
17/08/2024,Manchester Utd,Arsenal,1,1,D,4.49,3.17,3.92
17/08/2024,Fulham,Chelsea,1,3,A,1.87,3.19,4.87
23/08/2024,Fulham,Arsenal,1,1,D,3.25,3.56,2.68
23/08/2024,Liverpool,Brighton,2,2,D,3.51,3.14,5.91
23/08/2024,Chelsea,Newcastle,2,1,H,2.45,3.35,2.21
23/08/2024,Newcastle,Brighton,0,1,A,3.63,4.17,5.29
23/08/2024,Man City,Fulham,2,0,H,3.34,4.01,3.99
29/08/2024,Liverpool,Manchester Utd,,0,D,1.9,4.14,6.1
29/08/2024,Chelsea,Manchester Utd,3,1,H,2.91,3.13,3.25
29/08/2024,Brighton,Arsenal,4,2,H,2.14,3.29,4.29
29/08/2024,Arsenal,Tottenham,0,1,A,3.93,4.17,4.12
29/08/2024,Fulham,Liverpool,0,2,A,4.34,3.2,4.09
04/09/2024,Chelsea,Liverpool,1,4,A,4.28,3.91,4.92
04/09/2024,Chelsea,Arsenal,1,1,D,3.48,3.45,5.99
04/09/2024,Tottenham,Chelsea,1,0,H,1.6,3.03,4.22
sin-fecha,Fulham,Manchester Utd,1,0,H,3.59,3.07,1.74
04/09/2024,Man City,Liverpool,0,0,D,2.99,3.33,3.88
10/09/2024,Tottenham,Manchester Utd,1,1,D,4.14,3.69,2.64
10/09/2024,Brighton,Newcastle,1,1,D,1.69,3.79,3.21
10/09/2024,Aston Villa,Man City,0,3,A,1.57,3.78,4.7
10/09/2024,Man City,Arsenal,0,1,A,3.88,3.13,2.38
10/09/2024,Man City,Brighton,2,0,H,1.97,3.56,5.86
16/09/2024,Manchester Utd,Aston Villa,0,2,A,4.05,3.12,4.73
16/09/2024,Tottenham,Brighton,1,0,H,1.69,3.9,2.61
16/09/2024,Newcastle,Chelsea,1,1,D,4.08,4.08,2.24
16/09/2024,Man City,Tottenham,0,0,D,4.27,3.94,2.85
16/09/2024,Fulham,Aston Villa,1,2,A,3.83,3.79,3.88
22/09/2024,Aston Villa,Liverpool,0,0,D,1.58,3.88,1.71
22/09/2024,Newcastle,Aston Villa,0,0,D,2.88,4.1,4.11
22/09/2024,Newcastle,Fulham,0,1,A,4.04,3.08,1.75
22/09/2024,Aston Villa,Fulham,3,0,H,4.32,3.68,4.35
22/09/2024,Arsenal,Manchester Utd,0,0,D,3.44,3.68,3.01
28/09/2024,Fulham,Man City,0,2,A,2.37,3.32,2.07
28/09/2024,Liverpool,Tottenham,2,0,H,4.28,4.12,1.45
28/09/2024,Tottenham,Fulham,2,1,H,1.71,3.65,3.98
28/09/2024,Arsenal,Aston Villa,0,0,D,1.61,3.29,2.85
28/09/2024,Arsenal,Man City,1,1,D,2.34,4.18,5.52
04/10/2024,Newcastle,Arsenal,1,2,A,3.12,4.12,1.93
04/10/2024,Aston Villa,Arsenal,2,1,H,4.16,3.89,2.19
04/10/2024,Brighton,Manchester Utd,0,,D,2.46,3.82,5.75
04/10/2024,Manchester Utd,Brighton,1,0,H,4.22,3.06,4.63
04/10/2024,Man City,Aston Villa,3,0,H,2.43,3.16,6.4
10/10/2024,Brighton,Chelsea,0,1,A,3.59,3.67,1.97
10/10/2024,Man United,Chelsea,,1,H,1.86,3.04,3.28
10/10/2024,Liverpool,Aston Villa,2,0,H,1.53,3.44,6.16
10/10/2024,Tottenham,Aston Villa,4,0,H,2.51,3.82,4.8
10/10/2024,Newcastle,Man United,1,1,D,4.11,4.17,5.22
16/10/2024,Arsenal,Brighton,4,0,H,1.9,3.96,2.3
16/10/2024,Brighton,Man City,0,0,D,4.27,3.94,3.5
16/10/2024,Chelsea,Man City,1,2,A,2.17,3.19,4.98
16/10/2024,Man United,Newcastle,1,,H,2.86,3.24,6.08
16/10/2024,Man United,Fulham,,2,A,4.1,3.27,4.77
22/10/2024,Brighton,Liverpool,0,1,A,1.62,3.93,3.19
22/10/2024,Man City,Man United,1,1,D,4.02,3.4,1.54
22/10/2024,Brighton,Tottenham,2,0,H,3.2,4.18,1.6
22/10/2024,Liverpool,Arsenal,1,0,H,3.84,3.52,6.42
22/10/2024,Aston Villa,Tottenham,0,3,A,1.99,3.05,3.62
28/10/2024,Arsenal,Fulham,2,1,H,3.53,4.13,5.16
28/10/2024,Aston Villa,Chelsea,0,1,A,4.34,4.1,4.58
28/10/2024,Brighton,Aston Villa,1,0,H,4.19,3.61,4.8
28/10/2024,Arsenal,Newcastle,1,1,D,3.12,3.23,4.79
28/10/2024,Man United,Liverpool,0,2,A,1.94,3.68,3.47
03/11/2024,Aston Villa,Newcastle,2,0,H,2.05,3.94,4.49
03/11/2024,Tottenham,Liverpool,0,1,A,3.49,3.61,5.45
03/11/2024,Fulham,Newcastle,3,2,H,3.44,3.34,4.79
03/11/2024,Aston Villa,Man United,1,0,H,4.35,3.28,2.98
03/11/2024,Aston Villa,Brighton,2,0,H,1.54,4.18,4.52
09/11/2024,Chelsea,Tottenham,2,1,H,4.15,3.69,5.06
09/11/2024,Newcastle,Man City,0,1,A,1.86,3.83,5.95
09/11/2024,Tottenham,Arsenal,2,3,A,3.81,3.26,5.5
09/11/2024,Chelsea,Aston Villa,2,1,H,3.13,4.1,2.02
09/11/2024,Chelsea,Fulham,0,0,D,3.05,3.67,3.02
15/11/2024,Newcastle,Tottenham,2,1,H,3.93,4.07,3.58
15/11/2024,Brighton,Fulham,3,1,H,1.89,4.03,3.7
15/11/2024,Man United,Tottenham,2,2,D,2.26,3.93,3.87
15/11/2024,Arsenal,Liverpool,0,1,A,3.61,3.28,3.11
15/11/2024,Tottenham,Man City,2,0,H,1.87,3.46,2.18
21/11/2024,Liverpool,Man City,0,1,A,2.43,3.56,1.72
21/11/2024,Man City,Chelsea,3,0,H,3.79,4.14,1.5
21/11/2024,Liverpool,Newcastle,3,1,H,2.88,4.13,2.92
21/11/2024,Arsenal,Chelsea,1,2,A,3.99,3.65,5.15
21/11/2024,Chelsea,Brighton,2,2,D,2.91,3.33,3.88
27/11/2024,Man City,Newcastle,1,1,D,3.87,3.87,5.69
27/11/2024,Tottenham,Newcastle,3,4,A,3.06,4.09,4.42
27/11/2024,Man United,Man City,1,0,H,2.73,4.04,2.33
27/11/2024,Liverpool,Fulham,1,0,H,2.81,3.41,5.89
27/11/2024,Fulham,Tottenham,0,3,A,2.71,4.0,3.8
